_dataset	_file	_mode	_size_mb	_time_s	MS:4000029	MS:4000030	MS:4000031	MS:4000050	MS:4000051	MS:4000051[0]	MS:4000051[1]	MS:4000051[2]	MS:4000053	MS:4000059	MS:4000060	MS:4000061	MS:4000061[0]	MS:4000061[1]	MS:4000061[2]	MS:4000062	MS:4000062[0]	MS:4000062[1]	MS:4000062[2]	MS:4000063	MS:4000063.0	MS:4000063.1	MS:4000063.10	MS:4000063.11	MS:4000063.12	MS:4000063.13	MS:4000063.14	MS:4000063.15	MS:4000063.16	MS:4000063.18	MS:4000063.2	MS:4000063.20	MS:4000063.3	MS:4000063.4	MS:4000063.5	MS:4000063.6	MS:4000063.7	MS:4000063.8	MS:4000063.9	MS:4000065	MS:4000066	MS:4000067	MS:4000069	MS:4000069[0]	MS:4000069[1]	MS:4000070	MS:4000070[0]	MS:4000070[1]	MS:4000095	MS:4000096	MS:4000097	MS:4000098	MS:4000099	MS:4000100	MS:4000106	MS:4000106[0]	MS:4000106[1]	MS:4000106[2]	MS:4000106[3]	MS:4000107	MS:4000107[0]	MS:4000107[1]	MS:4000107[2]	MS:4000107[3]	MS:4000116	MS:4000116[0]	MS:4000116[1]	MS:4000116[2]	MS:4000183	MS:4000183[0]	MS:4000183[1]	MS:4000183[2]	MS:4000183[3]	MS:4000184	MS:4000184[0]	MS:4000184[1]	MS:4000184[2]	MS:4000184[3]	MS:4000185	MS:4000185[0]	MS:4000185[1]	MS:4000185[2]	MS:4000185[3]	MS:4000186	MS:4000186[0]	MS:4000186[1]	MS:4000186[2]	MS:4000187	MS:4000187[0]	MS:4000187[1]	MS:4000187[2]	MS:4000193	MS:4000194	MS:4000195	MS:4000195[0]	MS:4000195[1]	MS:4000196	MS:4000196[0]	MS:4000196[1]	MS:4000197	MS:4000197[0]	MS:4000197[1]	MS:4000198	MS:4000198[0]	MS:4000198[1]	MS:4000199	MS:4000199[0]	MS:4000199[1]	NEW-001	NEW-002	NEW-002.1	NEW-002.2	NEW-003	NEW-003.negative	NEW-003.positive	NEW-004	NEW-005	NEW-006	NEW-007	NEW-008	NEW-009	NEW-010	NEW-011	NEW-012	NEW-013	NEW-013[0]	NEW-013[1]	NEW-013[2]	NEW-014	NEW-015	NEW-015[0]	NEW-015[1]	NEW-015[2]	NEW-015[3]	NEW-016	NEW-017	NEW-018	NEW-019	NEW-020	NEW-021	NEW-022	NEW-023	NEW-024	NEW-025	NEW-025.MS1_negative	NEW-025.MS1_positive	NEW-025.MS2_negative	NEW-025.MS2_positive	NEW-027	NEW-028	NEW-029	NEW-030	NEW-031	NEW-032	NEW-033	NEW-034	NEW-035	NEW-036	NEW-037	NEW-038	NEW-039	NEW-040	NEW-041	NEW-042	NEW-043	NEW-044	NEW-045
MTBLS483	070120_CM_neg_15min_SIN_I.mzML	DDA	258.0	4.9	678233280.9051311	2996010.891578835	226.37877679667457	0.0115	[0.1983, 0.2824, 0.4912]	0.1983	0.2824	0.4912	26.5779176	420	4347	[90065.0, 91498.5, 93609.5]	90065.0	91498.5	93609.5	[633.0, 831.0, 1247.0]	633.0	831.0	1247.0																					83.56522683780595	204.80052428931106	26.659999889999998	[50.010780334472656, 1200.5909423828125]	50.010780334472656	1200.5909423828125	[5.00241661, 31.6624165]	5.00241661	31.6624165	13.733434045183277	32.19056816352635	58	58	0	0	[15.953093330381911, 15.953093330381911, 15.65209156943131, 15.65209156943131]	15.953093330381911	15.953093330381911	15.65209156943131	15.65209156943131	[163.6909234060766, 163.9909984260694, 162.94073585609456, 161.59039826612693]	163.6909234060766	163.9909984260694	162.94073585609456	161.59039826612693	[None, None, None]				[0.43289574034578143, 0.7418186110877737, 0.8392485702294578, 1.0]	0.43289574034578143	0.7418186110877737	0.8392485702294578	1.0	[0.2457484931024092, 0.4957273364411363, 0.7454722261611647, 1.0]	0.2457484931024092	0.4957273364411363	0.7454722261611647	1.0	[0.2492285452893901, 0.49706986664207364, 0.7478594550736888, 1.0]	0.2492285452893901	0.49706986664207364	0.7478594550736888	1.0	[1.0030260857836062, 1.593453655331575, 1.9432634642230748]	1.0030260857836062	1.593453655331575	1.9432634642230748	[0.27968491928621064, 0.7695064818925121, 0.8947069168556686]	0.27968491928621064	0.7695064818925121	0.8947069168556686																		DDA	{2: 4347, 1: 420}	420	4347	{'negative': 4767}	4767		14.850428831058519	8.890898672780722	0.0	1.352710102468447	0.0	0.8895600665342134	0.46180152076006165	476540.7614000001	32.061429446484276					0.590752242926156	[0.09715857011915674, 0.0969807868252516, 0.09668508287292818, 0.09563602599814298]	0.09715857011915674	0.0969807868252516	0.09668508287292818	0.09563602599814298						0.0	mixed	0.0	0.0	{'MS1_negative': 420, 'MS2_negative': 4347}	420		4347		0	420	0	4347	0	0	True	True	200.0678253173828	1200.5909423828125	1000.5231170654297	200.0	1200.0	1000.0		503.43994140625	2653	2653	0.0
MTBLS483	070120_CM_neg_15min_SIN_II.mzML	DDA	246.4	4.6	528745351.99961615	2132626.005889898	247.93158788241556	0.0131	[0.1991, 0.2747, 0.466]	0.1991	0.2747	0.466	26.56431679	419	4338	[87384.0, 90442.0, 93046.5]	87384.0	90442.0	93046.5	[564.0, 728.0, 1078.75]	564.0	728.0	1078.75																					85.70963290564845	203.45052083336515	26.6614504	[50.010780334472656, 1200.590576171875]	50.010780334472656	1200.590576171875	[5.00105, 31.6625004]	5.00105	31.6625004	13.71441110318669	32.240072475684514	58	58	0	0	[15.961261241983555, 15.6601053694933, 15.810683305738428, 15.6601053694933]	15.961261241983555	15.6601053694933	15.810683305738428	15.6601053694933	[163.23192979778776, 163.9820765339908, 162.48178306158468, 161.13151893641916]	163.23192979778776	163.9820765339908	162.48178306158468	161.13151893641916	[None, None, None]				[0.3574736691744272, 0.7240334719374457, 0.8332667340558487, 1.0]	0.3574736691744272	0.7240334719374457	0.8332667340558487	1.0	[0.24677464667443455, 0.4974568212864623, 0.7474557334549842, 1.0]	0.24677464667443455	0.4974568212864623	0.7474557334549842	1.0	[0.24930251731541206, 0.49713414315974347, 0.7476124817275508, 1.0]	0.24930251731541206	0.49713414315974347	0.7476124817275508	1.0	[0.928695349720217, 1.500532412879418, 1.773648810862598]	0.928695349720217	1.500532412879418	1.773648810862598	[0.2935797239159807, 0.7053454368185469, 0.7716592452973405]	0.2935797239159807	0.7053454368185469	0.7716592452973405																		DDA	{2: 4338, 1: 419}	419	4338	{'negative': 4757}	4757		15.032606237400413	8.820746784059121	0.0	1.2413715713266666	0.0	0.7887285707495688	0.4239434597335161	441343.8873	29.803501030612324					0.5726141078838174	[0.09650735294117647, 0.09606587374199452, 0.09787626962142197, 0.09590316573556797]	0.09650735294117647	0.09606587374199452	0.09787626962142197	0.09590316573556797						0.0	mixed	0.0	0.0	{'MS1_negative': 419, 'MS2_negative': 4338}	419		4338		0	419	0	4338	0	0	True	True	200.0678253173828	1200.590576171875	1000.5227508544922	200.0	1200.0	1000.0		525.267669677734	2710	2710	0.0
MTBLS483	070120_CM_neg_15min_SIN_III.mzML	DDA	249.5	4.7	544416804.8236108	2160381.11844208	252.0003531674111	0.0132	[0.2084, 0.2893, 0.4967]	0.2084	0.2893	0.4967	26.592767209999998	422	4352	[89859.25, 91696.5, 93080.25]	89859.25	91696.5	93080.25	[549.0, 682.5, 1075.75]	549.0	682.5	1075.75																					85.47227706693755	204.80052428946007	26.65611693	[50.03239822387695, 1200.5897216796875]	50.03239822387695	1200.5897216796875	[5.00491667, 31.6610336]	5.00491667	31.6610336	13.780387476934742	32.415541307123206	58	59	0	0	[15.92452358119245, 15.92452358119245, 15.774292226652898, 15.774292226652898]	15.92452358119245	15.92452358119245	15.774292226652898	15.774292226652898	[163.6325474974441, 164.38315551348742, 163.48242589423543, 161.83108825894013]	163.6325474974441	164.38315551348742	163.48242589423543	161.83108825894013	[None, None, None]				[0.3472548704039617, 0.720630108295372, 0.837228730223761, 1.0]	0.3472548704039617	0.720630108295372	0.837228730223761	1.0	[0.24794369828801804, 0.4968951856845476, 0.7481402401476972, 1.0]	0.24794369828801804	0.4968951856845476	0.7481402401476972	1.0	[0.24949896436416497, 0.497260288810478, 0.747582410082565, 1.0]	0.24949896436416497	0.497260288810478	0.747582410082565	1.0	[1.054918338292054, 1.6961396136825977, 1.6736805933924122]	1.054918338292054	1.6961396136825977	1.6736805933924122	[0.22242945715225904, 0.7003129770937293, 0.7913057688930402]	0.22242945715225904	0.7003129770937293	0.7913057688930402																		DDA	{2: 4352, 1: 422}	422	4352	{'negative': 4774}	4774		14.993148929186438	8.79348400659909	0.0	1.238434591219005	0.0	0.7693076888090055	0.41486827316377695	421628.34890000004	31.62768237664865					0.5912224264705882	[0.09715857011915674, 0.09680365296803653, 0.0963302752293578, 0.09758364312267657]	0.09715857011915674	0.09680365296803653	0.0963302752293578	0.09758364312267657						0.0	mixed	0.0	0.0	{'MS1_negative': 422, 'MS2_negative': 4352}	422		4352		0	422	0	4352	0	0	True	True	200.084716796875	1200.5897216796875	1000.5050048828125	200.0	1200.0	1000.0		513.341766357422	2662	2662	0.0
MTBLS483	070120_CM_neg_16h_SIN_I.mzML	DDA	253.7	4.9	604087781.7619071	2469220.430742422	244.6471664663311	0.0142	[0.2084, 0.2882, 0.4831]	0.2084	0.2882	0.4831	26.56705049	420	4349	[89156.75, 91163.0, 93550.75]	89156.75	91163.0	93550.75	[633.0, 831.0, 1172.0]	633.0	831.0	1172.0																					84.38604929833726	204.75858962283493	26.658600800000002	[50.010780334472656, 1200.594482421875]	50.010780334472656	1200.594482421875	[5.0005331, 31.6591339]	5.0005331	31.6591339	13.73632034197926	32.34550171107698	58	58	0	0	[15.959618857938189, 15.959618857938189, 15.658493973826147, 15.658493973826147]	15.959618857938189	15.959618857938189	15.658493973826147	15.658493973826147	[163.69951419205765, 163.99960496051239, 163.0993326551482, 161.74892419710187]	163.69951419205765	163.99960496051239	163.0993326551482	161.74892419710187	[None, None, None]				[0.358725998852873, 0.7277619911694689, 0.8390863071853343, 1.0]	0.358725998852873	0.7277619911694689	0.8390863071853343	1.0	[0.24581828503913836, 0.4958635921951003, 0.7455218221328416, 1.0]	0.24581828503913836	0.4958635921951003	0.7455218221328416	1.0	[0.24939044437771093, 0.4972010196424112, 0.7477943516075306, 1.0]	0.24939044437771093	0.4972010196424112	0.7477943516075306	1.0	[0.9310332680698956, 1.5306894698262223, 1.7990980639881584]	0.9310332680698956	1.5306894698262223	1.7990980639881584	[0.30637309380239447, 0.653337424152082, 0.8633713104496703]	0.30637309380239447	0.653337424152082	0.8633713104496703																		DDA	{2: 4349, 1: 420}	420	4349	{'negative': 4769}	4769		14.907726455257441	8.909848682202922	0.0	1.2466324887852551	0.0	0.8121894800695056	0.43342089789745253	400627.0426500001	37.70518310516749					0.5881811910784088	[0.09715857011915674, 0.0969807868252516, 0.09659613615455381, 0.09554730983302412]	0.09715857011915674	0.0969807868252516	0.09659613615455381	0.09554730983302412						0.0	mixed	0.0	0.0	{'MS1_negative': 420, 'MS2_negative': 4349}	420		4349		0	420	0	4349	0	0	True	True	200.0678253173828	1200.594482421875	1000.5266571044922	200.0	1200.0	1000.0		507.20458984375	2638	2638	0.0
MTBLS483	070120_CM_neg_16h_SIN_II.mzML	DDA	247.4	4.7	526289513.8124978	2094335.8955349782	251.29183667936042	0.0133	[0.2057, 0.282, 0.4679]	0.2057	0.282	0.4679	26.56115059	422	4359	[87953.75, 90239.0, 92965.25]	87953.75	90239.0	92965.25	[568.0, 714.0, 1076.0]	568.0	714.0	1076.0																					86.0829667633712	204.77997415678652	26.662466520000002	[50.03548812866211, 1200.58349609375]	50.03548812866211	1200.58349609375	[5.00141668, 31.6638832]	5.00141668	31.6638832	13.739566516676614	32.309551349569325	58	59	0	0	[15.963163890935945, 15.963163890935945, 15.8125680051724, 15.8125680051724]	15.963163890935945	15.963163890935945	15.8125680051724	15.8125680051724	[163.82580346508766, 164.42589798327478, 163.82580346508766, 161.87549628097946]	163.82580346508766	164.42589798327478	163.82580346508766	161.87549628097946	[None, None, None]				[0.3292531211774776, 0.7227501028663269, 0.838672119971592, 1.0]	0.3292531211774776	0.7227501028663269	0.838672119971592	1.0	[0.24839411107755024, 0.49703606947548284, 0.7485243164686263, 1.0]	0.24839411107755024	0.49703606947548284	0.7485243164686263	1.0	[0.24955618097106194, 0.49762151637574753, 0.7477877826886062, 1.0]	0.24955618097106194	0.49762151637574753	0.7477877826886062	1.0	[1.154163421882607, 1.6039748060548376, 1.7451942160510456]	1.154163421882607	1.6039748060548376	1.7451942160510456	[0.25644713716395134, 0.7242725475766768, 0.7414084974667615]	0.25644713716395134	0.7242725475766768	0.7414084974667615																		DDA	{2: 4359, 1: 422}	422	4359	{'negative': 4781}	4781		14.956161205042548	8.82988779266614	0.0	1.2093992671216705	0.0	0.7764480796431695	0.4201023402778086	480682.03595	26.753509676275225					0.5891259463179629	[0.09706959706959707, 0.09762773722627738, 0.09523809523809523, 0.09731232622798888]	0.09706959706959707	0.09762773722627738	0.09523809523809523	0.09731232622798888						0.0	mixed	0.0	0.0	{'MS1_negative': 422, 'MS2_negative': 4359}	422		4359		0	422	0	4359	0	0	True	True	200.084716796875	1200.58349609375	1000.498779296875	200.0	1200.0	1000.0		526.112670898437	2685	2685	0.0
MTBLS483	070120_CM_neg_16h_SIN_III.mzML	DDA	247.0	4.7	534142993.97117805	2143339.4347105925	249.21064079768658	0.0129	[0.2077, 0.282, 0.486]	0.2077	0.282	0.486	26.55141644	422	4356	[89439.25, 91566.5, 93260.25]	89439.25	91566.5	93260.25	[504.0, 650.0, 1051.25]	504.0	650.0	1051.25																					84.87055119180268	204.80052428931106	26.65571594	[50.03239822387695, 1200.5816650390625]	50.03239822387695	1200.5816650390625	[5.00006676, 31.6557827]	5.00006676	31.6557827	13.755063582781442	32.62525651607931	58	59	0	0	[15.94361636935966, 16.0940278445423, 15.642793418994383, 15.793204894177022]	15.94361636935966	16.0940278445423	15.642793418994383	15.793204894177022	[163.717230849212, 164.31747734178472, 163.717230849212, 161.9164913714938]	163.717230849212	164.31747734178472	163.717230849212	161.9164913714938	[None, None, None]				[0.31976379322115484, 0.7193278951186183, 0.8357869542933012, 1.0]	0.31976379322115484	0.7193278951186183	0.8357869542933012	1.0	[0.24816388688737595, 0.49636980099708994, 0.7476628391894771, 1.0]	0.24816388688737595	0.49636980099708994	0.7476628391894771	1.0	[0.24950559028203692, 0.49750180298477475, 0.7476738904653859, 1.0]	0.24950559028203692	0.49750180298477475	0.7476738904653859	1.0	[0.9146583430269263, 1.5238508300033506, 1.7941632957003508]	0.9146583430269263	1.5238508300033506	1.7941632957003508	[0.32905614944136846, 0.6878947923297771, 0.851318419155012]	0.32905614944136846	0.6878947923297771	0.851318419155012																		DDA	{2: 4356, 1: 422}	422	4356	{'negative': 4778}	4778		14.91316116648893	8.640951105746328	0.0	1.2847032006919825	0.0	0.7883838974057861	0.4260423055608904	391860.62320000003	34.317256452523296					0.601010101010101	[0.09715857011915674, 0.09771689497716896, 0.09624197983501374, 0.0963855421686747]	0.09715857011915674	0.09771689497716896	0.09624197983501374	0.0963855421686747						0.0	mixed	0.0	0.0	{'MS1_negative': 422, 'MS2_negative': 4356}	422		4356		0	422	0	4356	0	0	True	True	200.0855255126953	1200.5816650390625	1000.4961395263672	200.0	1200.0	1000.0		501.34603881835903	2661	2661	0.0
MTBLS483	070120_CM_neg_30min_SIN_I.mzML	DDA	255.2	5.2	657328780.4096985	2935176.3216415187	223.9486519304171	0.0122	[0.184, 0.273, 0.4583]	0.184	0.273	0.4583	26.5626998	421	4348	[89681.0, 91237.0, 93603.0]	89681.0	91237.0	93603.0	[598.0, 784.5, 1154.0]	598.0	784.5	1154.0																					84.38604929833726	204.80052428931106	26.660466659999997	[50.007694244384766, 1200.590576171875]	50.007694244384766	1200.590576171875	[5.00183344, 31.6623001]	5.00183344	31.6623001	13.764814381477693	32.224280995728186	58	59	0	0	[15.921982346584688, 15.921982346584688, 15.77177496595653, 15.621567585328373]	15.921982346584688	15.921982346584688	15.77177496595653	15.621567585328373	[163.75592535656097, 164.0561195368663, 163.00543990579763, 161.80466318457627]	163.75592535656097	164.0561195368663	163.00543990579763	161.80466318457627	[None, None, None]				[0.42672234905283535, 0.7412904999765673, 0.8385856123645213, 1.0]	0.42672234905283535	0.7412904999765673	0.8385856123645213	1.0	[0.24775518543196898, 0.497250865090306, 0.7464080111093679, 1.0]	0.24775518543196898	0.497250865090306	0.7464080111093679	1.0	[0.249136150719957, 0.49706590133121015, 0.7478193797179511, 1.0]	0.249136150719957	0.49706590133121015	0.7478193797179511	1.0	[1.0391500019717728, 1.462452123532444, 1.9144674229680536]	1.0391500019717728	1.462452123532444	1.9144674229680536	[0.29790126626409463, 0.7674432391363176, 0.9128683134165247]	0.29790126626409463	0.7674432391363176	0.9128683134165247																		DDA	{2: 4348, 1: 421}	421	4348	{'negative': 4769}	4769		14.779095347086969	8.785311620396865	0.0	1.343735614581294	0.0	0.8918166461601769	0.4646358525876422	378321.531	38.593037412930116					0.5531278748850046	[0.09706959706959707, 0.0969807868252516, 0.09668508287292818, 0.09563602599814298]	0.09706959706959707	0.0969807868252516	0.09668508287292818	0.09563602599814298						0.0	mixed	0.0	0.0	{'MS1_negative': 421, 'MS2_negative': 4348}	421		4348		0	421	0	4348	0	0	True	True	200.0678253173828	1200.590576171875	1000.5227508544922	200.0	1200.0	1000.0		485.351623535156	2807	2807	0.0
MTBLS483	070120_CM_neg_30min_SIN_II.mzML	DDA	246.5	4.7	502988125.3817035	1980997.438542041	253.90649962267935	0.0139	[0.2039, 0.2803, 0.4745]	0.2039	0.2803	0.4745	26.6098499	422	4358	[87270.25, 90711.5, 92763.25]	87270.25	90711.5	92763.25	[563.0, 702.0, 1041.75]	563.0	702.0	1041.75																					83.91303253307167	204.80052428931106	26.66206603	[50.007694244384766, 1200.5906982421875]	50.007694244384766	1200.5906982421875	[5.00128317, 31.6633492]	5.00128317	31.6633492	13.78363551656914	32.37943517313119	58	59	0	0	[15.933949330544701, 15.933949330544701, 15.78362905384145, 15.78362905384145]	15.933949330544701	15.933949330544701	15.78362905384145	15.78362905384145	[163.97829017003602, 164.2783419361294, 163.82826428698934, 161.7279019243356]	163.97829017003602	164.2783419361294	163.82826428698934	161.7279019243356	[None, None, None]				[0.3546236971794043, 0.7196823235082207, 0.8335244014846512, 1.0]	0.3546236971794043	0.7196823235082207	0.8335244014846512	1.0	[0.24770215633572587, 0.49686991657927393, 0.747991806597902, 1.0]	0.24770215633572587	0.49686991657927393	0.747991806597902	1.0	[0.24932113747375637, 0.49745393755594114, 0.747720251970286, 1.0]	0.24932113747375637	0.49745393755594114	0.747720251970286	1.0	[0.8513973114437842, 1.7702738220702718, 1.6832108091925642]	0.8513973114437842	1.7702738220702718	1.6832108091925642	[0.22355351308719115, 0.6590626418973268, 0.7996501319468412]	0.22355351308719115	0.6590626418973268	0.7996501319468412																		DDA	{2: 4358, 1: 422}	422	4358	{'negative': 4780}	4780		15.041009584272562	8.811924857299864	0.0	1.183991112081258	0.0	0.763891252373262	0.4096549541142085	436059.12235	29.266058994993067					0.5954566314823313	[0.0969807868252516, 0.09680365296803653, 0.09615384615384616, 0.09740259740259741]	0.0969807868252516	0.09680365296803653	0.09615384615384616	0.09740259740259741						0.0	mixed	0.0	0.0	{'MS1_negative': 422, 'MS2_negative': 4358}	422		4358		0	422	0	4358	0	0	True	True	200.06166076660156	1200.5906982421875	1000.5290374755859	200.0	1200.0	1000.0		526.186370849609	2637	2637	0.0
MTBLS483	070120_CM_neg_30min_SIN_III.mzML	DDA	246.4	4.7	499008707.3639861	2035946.940164085	245.09907282935822	0.0138	[0.2051, 0.2788, 0.4575]	0.2051	0.2788	0.4575	26.57188369	422	4361	[89302.25, 91143.0, 93022.5]	89302.25	91143.0	93022.5	[538.0, 675.0, 1036.0]	538.0	675.0	1036.0																					86.83118281437072	204.77997415678652	26.6630659	[50.03239822387695, 1200.59033203125]	50.03239822387695	1200.59033203125	[5.0032835, 31.6663494]	5.0032835	31.6663494	13.773858043864465	32.467637881943176	59	59	0	0	[15.956715938793876, 15.956715938793876, 15.806180882767517, 15.806180882767517]	15.956715938793876	15.956715938793876	15.806180882767517	15.806180882767517	[163.82212069617995, 164.87226249551443, 163.82212069617995, 161.72183709751098]	163.82212069617995	164.87226249551443	163.82212069617995	161.72183709751098	[None, None, None]				[0.3647548611429565, 0.726651213805086, 0.8345633275429141, 1.0]	0.3647548611429565	0.726651213805086	0.8345633275429141	1.0	[0.24820783753776848, 0.49688169435156826, 0.748701124169342, 1.0]	0.24820783753776848	0.49688169435156826	0.748701124169342	1.0	[0.24920550115731438, 0.49721025142873765, 0.747243418094691, 1.0]	0.24920550115731438	0.49721025142873765	0.747243418094691	1.0	[0.982489472912986, 1.6152831777749836, 1.7453741331705432]	0.982489472912986	1.6152831777749836	1.7453741331705432	[0.2657980050689018, 0.5846646140792715, 0.9470435924831393]	0.2657980050689018	0.5846646140792715	0.9470435924831393																		DDA	{2: 4361, 1: 422}	422	4361	{'negative': 4783}	4783		15.082872053498154	8.76429899978877	0.0	1.2331946826814344	0.0	0.7928477722808472	0.4192037792260055	402985.54665000003	31.86602498960864					0.5799128640220133	[0.09706959706959707, 0.09645131938125569, 0.09615384615384616, 0.09740259740259741]	0.09706959706959707	0.09645131938125569	0.09615384615384616	0.09740259740259741						0.0	mixed	0.0	0.0	{'MS1_negative': 422, 'MS2_negative': 4361}	422		4361		0	422	0	4361	0	0	True	True	200.084716796875	1200.59033203125	1000.505615234375	200.0	1200.0	1000.0		516.120300292969	2732	2732	0.0
MTBLS483	070120_CM_neg_70min_SIN_I.mzML	DDA	253.0	5.1	630938655.9134469	2757497.2585747754	228.80844358102837	0.0113	[0.2013, 0.2795, 0.4659]	0.2013	0.2795	0.4659	26.63100001	422	4349	[88960.25, 90857.0, 93582.0]	88960.25	90857.0	93582.0	[567.0, 763.0, 1123.0]	567.0	763.0	1123.0																					83.91937026904597	204.79633004983438	26.66160008	[50.010780334472656, 1200.585693359375]	50.010780334472656	1200.585693359375	[5.00031662, 31.6619167]	5.00031662	31.6619167	13.723746472997387	32.379540016254104	59	59	0	0	[15.921294725725172, 16.07149561936409, 15.620892938447337, 15.771093832086255]	15.921294725725172	16.07149561936409	15.620892938447337	15.771093832086255	[163.74988632534672, 164.50034409952337, 162.99942855117007, 161.49851300281674]	163.74988632534672	164.50034409952337	162.99942855117007	161.49851300281674	[None, None, None]				[0.4183163293476271, 0.7433030958583039, 0.8406228288156066, 1.0]	0.4183163293476271	0.7433030958583039	0.8406228288156066	1.0	[0.24769879116529656, 0.4966723895097171, 0.7484272991068952, 1.0]	0.24769879116529656	0.4966723895097171	0.7484272991068952	1.0	[0.24926206867937545, 0.49667736283875946, 0.7473189612719728, 1.0]	0.24926206867937545	0.49667736283875946	0.7473189612719728	1.0	[0.9444640992685407, 1.4042523243784812, 1.9015108534567726]	0.9444640992685407	1.4042523243784812	1.9015108534567726	[0.33783595995491456, 0.7165240832916929, 0.9050648206651591]	0.33783595995491456	0.7165240832916929	0.9050648206651591																		DDA	{2: 4349, 1: 422}	422	4349	{'negative': 4771}	4771		14.825021248822111	8.72202322915806	0.0	1.3574458590130403	0.0	0.8870939600600718	0.4638680096830976	347187.4453	42.07801635043742					0.5750747298229478	[0.09706959706959707, 0.09662716499544212, 0.09668508287292818, 0.09776536312849161]	0.09706959706959707	0.09662716499544212	0.09668508287292818	0.09776536312849161						0.0	mixed	0.0	0.0	{'MS1_negative': 422, 'MS2_negative': 4349}	422		4349		0	422	0	4349	0	0	True	True	200.0678253173828	1200.585693359375	1000.5178680419922	200.0	1200.0	1000.0		494.16369628906205	2719	2719	0.0
